,order_id,start_state_abr,end_state_abr,start_city,end_city,start_zip,end_zip,total_volume_inches3,total_distance_miles,total_weight_lbs,total_predicted_hours
3094,13094,ok,ok,lawton,altus,73505,73521,2200.0,50.182888,15.0,0.8833333
3095,13095,ca,ca,sanleandro,oakland,94577,94611,192.0,9.241795,30.0,0.39583334
3096,13096,tx,tx,roanoke,dallas,76262,76051,5680.3086,13.564925,22.046,0.32555556
3097,13097,ok,ok,oklahomacity,oklahomacity,73104,73159,864.0,7.8520823,5.0,0.28611112
3098,13098,il,il,foxrivergrove,desplaines,60021,60018,7776.0,21.375216,38.0,0.65694445
3099,13099,tx,tx,shenandoah,houston,77385,77032,96.0,16.63816,1.0,0.48333332
3100,13100,ca,ca,ranchocucamonga,vannuys,91730,91401,1.0,50.19327,1.0,1.1108333
3101,13101,tx,tx,bedford,marshall,76021,75670,512.0,160.91924,5.0,2.6902778
3102,13102,ca,ca,sacramento,sacramento,95823,95828,1.0,2.3671377,1.0,0.16777778
3103,13103,ca,ca,poway,escondido,92064,92029,1.0,9.422534,1.0,0.35472223
3104,13104,nc,nc,cary,southernpines,27513,28387,7360.0,55.784595,45.0,1.1686112
3105,13105,ca,ca,longbeach,orange,90813,92868,1.0,18.790964,1.0,0.50222224
3106,13106,ca,ca,sacramento,sacramento,95815,95822,192.0,8.009395,3.0,0.35166666
3107,13107,or,or,portland,corvallis,97227,97330,6641.0,71.12738,44.0,1.4927778
3108,13108,co,ne,englewood,omaha,80112,68137,864.0,472.33856,2.0,8.110556
3109,13109,ca,ca,fresno,sacramento,93722,95864,3276.0,147.49492,15.0,2.8911111
3110,13110,ca,ca,orange,arcadia,92868,91007,2.0,26.193153,2.0,0.7775
3111,13111,ca,ca,sandiego,poway,92120,92064,288.0,13.174855,10.0,0.5352778
3112,13112,ca,ca,danapoint,danapoint,92624,92629,3375.0,2.6906617,20.0,0.21916667
3113,13113,az,az,goodyear,phoenix,85395,85034,1728.0,22.921154,6.0,0.5425
3114,13114,nc,nc,durham,morrisville,27707,27560,5625.0,11.422387,45.0,0.42666668
3115,13115,ca,ca,irvine,lagunawoods,92606,92637,8160.0,9.330961,10.0,0.42472222
3116,13116,ca,ca,sacramento,sacramento,95815,95843,5184.0,9.653201,9.0,0.34916666
